mode,user_type,attempt,is_correct,answer_time,current_difficulty,next_difficulty,mastery_level,adaptation_correct
adaptive,weak,1,False,72.0,1,1,0.0,True
adaptive,weak,2,False,72.0,1,1,0.0,True
adaptive,weak,3,False,72.0,1,1,0.0,True
adaptive,weak,4,True,18.0,1,1,0.25,True
adaptive,weak,5,False,72.0,1,1,0.2,True
adaptive,weak,6,False,72.0,1,1,0.1667,True
adaptive,weak,7,False,72.0,1,1,0.1429,True
adaptive,weak,8,True,18.0,1,1,0.25,True
linear,weak,1,False,72.0,1,1,0.0,True
linear,weak,2,False,72.0,1,2,0.0,True
linear,weak,3,False,72.0,2,2,0.0,True
linear,weak,4,False,72.0,2,3,0.0,True
linear,weak,5,False,72.0,3,3,0.0,True
linear,weak,6,False,72.0,3,4,0.0,True
linear,weak,7,False,72.0,4,4,0.0,True
linear,weak,8,False,72.0,4,5,0.0,True
adaptive,weak,1,False,72.0,1,1,0.0,True
adaptive,weak,2,False,72.0,1,1,0.0,True
adaptive,weak,3,False,72.0,1,1,0.0,True
adaptive,weak,4,True,18.0,1,1,0.25,True
adaptive,weak,5,False,72.0,1,1,0.2,True
adaptive,weak,6,False,72.0,1,1,0.1667,True
adaptive,weak,7,False,72.0,1,1,0.1429,True
adaptive,weak,8,True,18.0,1,1,0.25,True
adaptive,strong,1,True,8.0,1,2,1.0,True
adaptive,strong,2,True,8.0,2,3,1.0,True
adaptive,strong,3,True,8.0,3,4,1.0,True
adaptive,strong,4,True,8.0,4,5,1.0,True
adaptive,strong,5,False,35.0,5,5,0.8,True
adaptive,strong,6,False,35.0,5,5,0.6667,True
adaptive,strong,7,False,35.0,5,5,0.5714,True
adaptive,strong,8,False,35.0,5,4,0.5,True
linear,weak,1,False,72.0,1,1,0.0,True
linear,weak,2,False,72.0,1,2,0.0,True
linear,weak,3,False,72.0,2,2,0.0,True
linear,weak,4,False,72.0,2,3,0.0,True
linear,weak,5,False,72.0,3,3,0.0,True
linear,weak,6,False,72.0,3,4,0.0,True
linear,weak,7,False,72.0,4,4,0.0,True
linear,weak,8,False,72.0,4,5,0.0,True
adaptive,unstable,1,False,68.0,1,1,0.0,True
adaptive,unstable,2,False,68.0,1,1,0.0,True
adaptive,unstable,3,False,68.0,1,1,0.0,True
adaptive,unstable,4,True,12.0,1,1,0.25,True
adaptive,unstable,5,True,12.0,1,1,0.4,True
